Title,Bucket,Level,Domain,Practice ID,Parent,Task Type,Priority,Owner,Supporting Owners,Dependencies,Labels,Description,Definition of Done
Collect evidence for AT.L2-3.2.1,L2 Awareness & Training,Level 2,AT,AT.L2-3.2.1,Complete AT Level 2 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Validate AT.L2-3.2.1 Role-Based Risk Awareness; Level 2 evidence index,L2;AT;Evidence;AT.L2-3.2.1,Collect artifact and operational proof for AT.L2-3.2.1 Role-Based Risk Awareness.,"Evidence for AT.L2-3.2.1 is current, stored, and mapped in the evidence index."
Remediate AT.L2-3.2.1 gaps,L2 Awareness & Training,Level 2,AT,AT.L2-3.2.1,Complete AT Level 2 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,POA&M; evidence review for AT.L2-3.2.1,L2;AT;Remediation;AT.L2-3.2.1,"Close any documentation, implementation, or evidence gaps found for AT.L2-3.2.1 Role-Based Risk Awareness.",Gaps for AT.L2-3.2.1 are closed or formally tracked in the POA&M with owner and due date.
Validate AT.L2-3.2.2 Role-Based Training,L2 Awareness & Training,Level 2,AT,AT.L2-3.2.2,Complete AT Level 2 family readiness,Practice,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,AT Level 2 policy and procedure; SSP,L2;AT;Practice;AT.L2-3.2.2,Validate implementation of AT.L2-3.2.2 Role-Based Training in the live CUI environment.,AT.L2-3.2.2 is implemented or a concrete gap is documented.
Collect evidence for AT.L2-3.2.2,L2 Awareness & Training,Level 2,AT,AT.L2-3.2.2,Complete AT Level 2 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Validate AT.L2-3.2.2 Role-Based Training; Level 2 evidence index,L2;AT;Evidence;AT.L2-3.2.2,Collect artifact and operational proof for AT.L2-3.2.2 Role-Based Training.,"Evidence for AT.L2-3.2.2 is current, stored, and mapped in the evidence index."
Remediate AT.L2-3.2.2 gaps,L2 Awareness & Training,Level 2,AT,AT.L2-3.2.2,Complete AT Level 2 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,POA&M; evidence review for AT.L2-3.2.2,L2;AT;Remediation;AT.L2-3.2.2,"Close any documentation, implementation, or evidence gaps found for AT.L2-3.2.2 Role-Based Training.",Gaps for AT.L2-3.2.2 are closed or formally tracked in the POA&M with owner and due date.
Validate AT.L2-3.2.3 Insider Threat Awareness,L2 Awareness & Training,Level 2,AT,AT.L2-3.2.3,Complete AT Level 2 family readiness,Practice,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,AT Level 2 policy and procedure; SSP,L2;AT;Practice;AT.L2-3.2.3,Validate implementation of AT.L2-3.2.3 Insider Threat Awareness in the live CUI environment.,AT.L2-3.2.3 is implemented or a concrete gap is documented.
Collect evidence for AT.L2-3.2.3,L2 Awareness & Training,Level 2,AT,AT.L2-3.2.3,Complete AT Level 2 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Validate AT.L2-3.2.3 Insider Threat Awareness; Level 2 evidence index,L2;AT;Evidence;AT.L2-3.2.3,Collect artifact and operational proof for AT.L2-3.2.3 Insider Threat Awareness.,"Evidence for AT.L2-3.2.3 is current, stored, and mapped in the evidence index."
Remediate AT.L2-3.2.3 gaps,L2 Awareness & Training,Level 2,AT,AT.L2-3.2.3,Complete AT Level 2 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,POA&M; evidence review for AT.L2-3.2.3,L2;AT;Remediation;AT.L2-3.2.3,"Close any documentation, implementation, or evidence gaps found for AT.L2-3.2.3 Insider Threat Awareness.",Gaps for AT.L2-3.2.3 are closed or formally tracked in the POA&M with owner and due date.
Complete AU Level 2 family readiness,L2 Audit & Accountability,Level 2,AU,,,Epic,High,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Level 2 SSP; owner matrix; evidence index,L2;AU;Epic;Family,"Complete Level 2 AU documentation, implementation validation, evidence, review, and approval.",AU Level 2 family package is complete and traceable to all applicable practices.
Finalize AU Level 2 policy,L2 Audit & Accountability,Level 2,AU,,Complete AU Level 2 family readiness,Policy,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Existing Level 2 templates; SSP,L2;AU;Policy,Tailor the existing Level 2 AU policy to the live CUI environment.,"Policy is approved, environment-specific, and mapped to practices."
Finalize AU Level 2 procedure,L2 Audit & Accountability,Level 2,AU,,Complete AU Level 2 family readiness,Procedure,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Existing Level 2 templates; SSP,L2;AU;Procedure,Tailor the existing Level 2 AU procedure to the live CUI environment.,"Procedure is approved, operationally accurate, and linked to evidence sources."
Validate AU Level 2 family implementation,L2 Audit & Accountability,Level 2,AU,,Complete AU Level 2 family readiness,Implementation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AU policy and procedure; SSP,L2;AU;Implementation,"Validate the family-level implementation approach, records, system behavior, and operating cadence for AU.",Family-level implementation checks are complete and deficiencies are recorded.
Collect AU Level 2 family evidence set,L2 Audit & Accountability,Level 2,AU,,Complete AU Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AU implementation validation; Level 2 evidence index,L2;AU;Evidence,Assemble the baseline artifact and proof set for the Level 2 AU family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review AU Level 2 family package,L2 Audit & Accountability,Level 2,AU,,Complete AU Level 2 family readiness,Review,High,Sulaiman Ahmad,Andy Volk; Sulaiman Ahmad,AU family evidence set; POA&M,L2;AU;Review,"Review the full Level 2 AU package for completeness, traceability, and assessment readiness.",The family package passes internal review or has tracked corrective actions.
Approve AU Level 2 family package,L2 Audit & Accountability,Level 2,AU,,Complete AU Level 2 family readiness,Approval,High,Ryan Lin,Joshua Hornback,AU family review complete,L2;AU;Approval;Executive,Approve the Level 2 AU package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate AU.L2-3.3.1 System Auditing,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.1,Complete AU Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AU Level 2 policy and procedure; SSP,L2;AU;Practice;AU.L2-3.3.1,Validate implementation of AU.L2-3.3.1 System Auditing in the live CUI environment.,AU.L2-3.3.1 is implemented or a concrete gap is documented.
Collect evidence for AU.L2-3.3.1,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.1,Complete AU Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AU.L2-3.3.1 System Auditing; Level 2 evidence index,L2;AU;Evidence;AU.L2-3.3.1,Collect artifact and operational proof for AU.L2-3.3.1 System Auditing.,"Evidence for AU.L2-3.3.1 is current, stored, and mapped in the evidence index."
Remediate AU.L2-3.3.1 gaps,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.1,Complete AU Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AU.L2-3.3.1,L2;AU;Remediation;AU.L2-3.3.1,"Close any documentation, implementation, or evidence gaps found for AU.L2-3.3.1 System Auditing.",Gaps for AU.L2-3.3.1 are closed or formally tracked in the POA&M with owner and due date.
Validate AU.L2-3.3.2 User Accountability,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.2,Complete AU Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AU Level 2 policy and procedure; SSP,L2;AU;Practice;AU.L2-3.3.2,Validate implementation of AU.L2-3.3.2 User Accountability in the live CUI environment.,AU.L2-3.3.2 is implemented or a concrete gap is documented.
Collect evidence for AU.L2-3.3.2,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.2,Complete AU Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AU.L2-3.3.2 User Accountability; Level 2 evidence index,L2;AU;Evidence;AU.L2-3.3.2,Collect artifact and operational proof for AU.L2-3.3.2 User Accountability.,"Evidence for AU.L2-3.3.2 is current, stored, and mapped in the evidence index."
Remediate AU.L2-3.3.2 gaps,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.2,Complete AU Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AU.L2-3.3.2,L2;AU;Remediation;AU.L2-3.3.2,"Close any documentation, implementation, or evidence gaps found for AU.L2-3.3.2 User Accountability.",Gaps for AU.L2-3.3.2 are closed or formally tracked in the POA&M with owner and due date.
Validate AU.L2-3.3.3 Event Review,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.3,Complete AU Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AU Level 2 policy and procedure; SSP,L2;AU;Practice;AU.L2-3.3.3,Validate implementation of AU.L2-3.3.3 Event Review in the live CUI environment.,AU.L2-3.3.3 is implemented or a concrete gap is documented.
Collect evidence for AU.L2-3.3.3,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.3,Complete AU Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AU.L2-3.3.3 Event Review; Level 2 evidence index,L2;AU;Evidence;AU.L2-3.3.3,Collect artifact and operational proof for AU.L2-3.3.3 Event Review.,"Evidence for AU.L2-3.3.3 is current, stored, and mapped in the evidence index."
Remediate AU.L2-3.3.3 gaps,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.3,Complete AU Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AU.L2-3.3.3,L2;AU;Remediation;AU.L2-3.3.3,"Close any documentation, implementation, or evidence gaps found for AU.L2-3.3.3 Event Review.",Gaps for AU.L2-3.3.3 are closed or formally tracked in the POA&M with owner and due date.
Validate AU.L2-3.3.4 Audit Failure Alerting,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.4,Complete AU Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AU Level 2 policy and procedure; SSP,L2;AU;Practice;AU.L2-3.3.4,Validate implementation of AU.L2-3.3.4 Audit Failure Alerting in the live CUI environment.,AU.L2-3.3.4 is implemented or a concrete gap is documented.
Collect evidence for AU.L2-3.3.4,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.4,Complete AU Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AU.L2-3.3.4 Audit Failure Alerting; Level 2 evidence index,L2;AU;Evidence;AU.L2-3.3.4,Collect artifact and operational proof for AU.L2-3.3.4 Audit Failure Alerting.,"Evidence for AU.L2-3.3.4 is current, stored, and mapped in the evidence index."
Remediate AU.L2-3.3.4 gaps,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.4,Complete AU Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AU.L2-3.3.4,L2;AU;Remediation;AU.L2-3.3.4,"Close any documentation, implementation, or evidence gaps found for AU.L2-3.3.4 Audit Failure Alerting.",Gaps for AU.L2-3.3.4 are closed or formally tracked in the POA&M with owner and due date.
Validate AU.L2-3.3.5 Audit Correlation,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.5,Complete AU Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AU Level 2 policy and procedure; SSP,L2;AU;Practice;AU.L2-3.3.5,Validate implementation of AU.L2-3.3.5 Audit Correlation in the live CUI environment.,AU.L2-3.3.5 is implemented or a concrete gap is documented.
Collect evidence for AU.L2-3.3.5,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.5,Complete AU Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AU.L2-3.3.5 Audit Correlation; Level 2 evidence index,L2;AU;Evidence;AU.L2-3.3.5,Collect artifact and operational proof for AU.L2-3.3.5 Audit Correlation.,"Evidence for AU.L2-3.3.5 is current, stored, and mapped in the evidence index."
Remediate AU.L2-3.3.5 gaps,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.5,Complete AU Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AU.L2-3.3.5,L2;AU;Remediation;AU.L2-3.3.5,"Close any documentation, implementation, or evidence gaps found for AU.L2-3.3.5 Audit Correlation.",Gaps for AU.L2-3.3.5 are closed or formally tracked in the POA&M with owner and due date.
Validate AU.L2-3.3.6 Reduction and Reporting,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.6,Complete AU Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AU Level 2 policy and procedure; SSP,L2;AU;Practice;AU.L2-3.3.6,Validate implementation of AU.L2-3.3.6 Reduction and Reporting in the live CUI environment.,AU.L2-3.3.6 is implemented or a concrete gap is documented.
Collect evidence for AU.L2-3.3.6,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.6,Complete AU Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AU.L2-3.3.6 Reduction and Reporting; Level 2 evidence index,L2;AU;Evidence;AU.L2-3.3.6,Collect artifact and operational proof for AU.L2-3.3.6 Reduction and Reporting.,"Evidence for AU.L2-3.3.6 is current, stored, and mapped in the evidence index."
Remediate AU.L2-3.3.6 gaps,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.6,Complete AU Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AU.L2-3.3.6,L2;AU;Remediation;AU.L2-3.3.6,"Close any documentation, implementation, or evidence gaps found for AU.L2-3.3.6 Reduction and Reporting.",Gaps for AU.L2-3.3.6 are closed or formally tracked in the POA&M with owner and due date.
Validate AU.L2-3.3.7 Authoritative Time Source,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.7,Complete AU Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AU Level 2 policy and procedure; SSP,L2;AU;Practice;AU.L2-3.3.7,Validate implementation of AU.L2-3.3.7 Authoritative Time Source in the live CUI environment.,AU.L2-3.3.7 is implemented or a concrete gap is documented.
Collect evidence for AU.L2-3.3.7,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.7,Complete AU Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AU.L2-3.3.7 Authoritative Time Source; Level 2 evidence index,L2;AU;Evidence;AU.L2-3.3.7,Collect artifact and operational proof for AU.L2-3.3.7 Authoritative Time Source.,"Evidence for AU.L2-3.3.7 is current, stored, and mapped in the evidence index."
Remediate AU.L2-3.3.7 gaps,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.7,Complete AU Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AU.L2-3.3.7,L2;AU;Remediation;AU.L2-3.3.7,"Close any documentation, implementation, or evidence gaps found for AU.L2-3.3.7 Authoritative Time Source.",Gaps for AU.L2-3.3.7 are closed or formally tracked in the POA&M with owner and due date.
Validate AU.L2-3.3.8 Audit Protection,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.8,Complete AU Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AU Level 2 policy and procedure; SSP,L2;AU;Practice;AU.L2-3.3.8,Validate implementation of AU.L2-3.3.8 Audit Protection in the live CUI environment.,AU.L2-3.3.8 is implemented or a concrete gap is documented.
Collect evidence for AU.L2-3.3.8,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.8,Complete AU Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AU.L2-3.3.8 Audit Protection; Level 2 evidence index,L2;AU;Evidence;AU.L2-3.3.8,Collect artifact and operational proof for AU.L2-3.3.8 Audit Protection.,"Evidence for AU.L2-3.3.8 is current, stored, and mapped in the evidence index."
Remediate AU.L2-3.3.8 gaps,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.8,Complete AU Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AU.L2-3.3.8,L2;AU;Remediation;AU.L2-3.3.8,"Close any documentation, implementation, or evidence gaps found for AU.L2-3.3.8 Audit Protection.",Gaps for AU.L2-3.3.8 are closed or formally tracked in the POA&M with owner and due date.
Validate AU.L2-3.3.9 Audit Management,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.9,Complete AU Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AU Level 2 policy and procedure; SSP,L2;AU;Practice;AU.L2-3.3.9,Validate implementation of AU.L2-3.3.9 Audit Management in the live CUI environment.,AU.L2-3.3.9 is implemented or a concrete gap is documented.
Collect evidence for AU.L2-3.3.9,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.9,Complete AU Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AU.L2-3.3.9 Audit Management; Level 2 evidence index,L2;AU;Evidence;AU.L2-3.3.9,Collect artifact and operational proof for AU.L2-3.3.9 Audit Management.,"Evidence for AU.L2-3.3.9 is current, stored, and mapped in the evidence index."
Remediate AU.L2-3.3.9 gaps,L2 Audit & Accountability,Level 2,AU,AU.L2-3.3.9,Complete AU Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AU.L2-3.3.9,L2;AU;Remediation;AU.L2-3.3.9,"Close any documentation, implementation, or evidence gaps found for AU.L2-3.3.9 Audit Management.",Gaps for AU.L2-3.3.9 are closed or formally tracked in the POA&M with owner and due date.
Complete CM Level 2 family readiness,L2 Configuration Management,Level 2,CM,,,Epic,High,Joshua Hornback,Sulaiman Ahmad,Level 2 SSP; owner matrix; evidence index,L2;CM;Epic;Family,"Complete Level 2 CM documentation, implementation validation, evidence, review, and approval.",CM Level 2 family package is complete and traceable to all applicable practices.
Finalize CM Level 2 policy,L2 Configuration Management,Level 2,CM,,Complete CM Level 2 family readiness,Policy,Critical,Joshua Hornback,Sulaiman Ahmad,Existing Level 2 templates; SSP,L2;CM;Policy,Tailor the existing Level 2 CM policy to the live CUI environment.,"Policy is approved, environment-specific, and mapped to practices."
Finalize CM Level 2 procedure,L2 Configuration Management,Level 2,CM,,Complete CM Level 2 family readiness,Procedure,Critical,Joshua Hornback,Sulaiman Ahmad,Existing Level 2 templates; SSP,L2;CM;Procedure,Tailor the existing Level 2 CM procedure to the live CUI environment.,"Procedure is approved, operationally accurate, and linked to evidence sources."
